"employeenumber","ssn","firstname","surname","status","address","phone","emptype","job"
"3001","254-08-7019","Barbara","Wilson","active","654 Cedar Ct, Miami, FL 33101","(305) 867-5354","PTE","Research Department - Lab Technician"
"3002","497-86-2435","Kevin","Perez","active","7933 Chestnut Cir, Richmond, VA 23202","(804) 906-9410","PTE","Education Department - Teaching Assistant"
"3003","863-49-6844","Matthew","Lewis","active","111 Walnut St, Phoenix, AZ 85001","(602) 717-5944","PTE","Facility Management Department - Maintenance Worker"
"3004","390-81-5205","Amanda","Martin","long-term leave","6822 Linden Ln, Colorado Springs, CO 80901","(719) 837-3820","FTE","IT Department - IT Support;Research Department - Research Assistant"
"3005","797-06-6899","Mark","Campbell","active","7832 Elderberry Ave, Salt Lake City, UT 84102","(801) 343-6929","PTE","Research Department - Data Analyst"
"3006","008-42-9399","Steven","Wright","long-term leave","7933 Chestnut Cir, Richmond, VA 23202","(804) 899-6151","PTE","Education Department - Professor"
"3007","610-02-1430","Ashley","Jackson","active","4407 Mulberry Cir, Honolulu, HI 96801","(808) 923-4875","PTE","Education Department - Lecturer"
"3008","708-06-5752","Anthony","Thomas","active","6216 Hickory Hill Ct, Mobile, AL 36601","(251) 926-5673","FTE","Education Department - Teaching Assistant"
"3009","749-29-3649","James","Wilson","long-term leave","4205 Cottonwood Blvd, Tulsa, OK 74101","(918) 470-9322","FTE","Facility Management Department - Electrician"
"3010","486-18-8473","Mark","King","active","2809 Birchwood Ave, Boise, ID 83701","(208) 502-8745","FTE","IT Department - Network Administrator"
"3011","464-79-4230","Deborah","Harris","active","3406 Redwood Pl, Hartford, CT 06101","(860) 831-4231","PTE","Facility Management Department - Janitor"
"3012","198-26-1837","Nancy","Walker","former employee","4205 Cottonwood Blvd, Tulsa, OK 74101","(918) 316-6064","PTE","IT Department - Network Administrator;Research Department - Data Analyst"
"3013","235-87-3641","Peter","Reed","active","300 Birch Ln, Denver, CO 80202","(208) 585-1312","PTE","Facility Management Department - Groundskeeper;Facility Management Department - Janitor"
"3014","053-86-0269","Karen","Garcia","active","5610 Willowbrook Rd, Charleston, WV 25301","(304) 353-7371","FTE","Research Department - Research Scientist"
"3015","387-72-6408","Robert","Ramirez","active","808 Palm Ln, Orlando, FL 32801","(407) 982-8002","PTE","Facility Management Department - Janitor"
"3016","059-68-5692","Richard","Hernandez","former employee","8135 Sugar Maple Blvd, Des Moines, IA 50302","(515) 975-7797","PTE","Research Department - Data Analyst"
"3017","356-40-9973","Joshua","Williams","active","909 Sequoia Pl, Detroit, MI 48201","(313) 712-4664","PTE","IT Department - Software Engineer"
"3018","602-48-3335","Carol","Adams","active","808 Palm Ln, Orlando, FL 32801","(407) 917-5750","PTE","Facility Management Department - Electrician"
"3019","773-89-6647","Michelle","Lewis","former employee","8135 Sugar Maple Blvd, Des Moines, IA 50302","(515) 331-2915","PTE","Facility Management Department - Electrician"
"3020","137-83-3591","Carol","Young","active","3002 Oakridge Dr, Charleston, SC 29401","(843) 443-6777","PTE","Education Department - Academic Advisor"
"3021","525-22-3450","Patricia","Martin","active","654 Cedar Ct, Miami, FL 33101","(305) 334-9766","FTE","IT Department - Software Engineer"
"3022","380-14-5299","George","Baker","active","5610 Willowbrook Rd, Charleston, WV 25301","(304) 639-4104","FTE","IT Department - Software Engineer"
"3023","100-58-4721","Daniel","Hernandez","active","1708 Elderberry Ct, Pittsburgh, PA 15201","(412) 446-3777","PTE","Research Department - Research Scientist"
"3024","002-65-3648","Carol","Harris","active","2203 Elmwood Rd, Oklahoma City, OK 73101","(405) 483-4961","FTE","Research Department - Research Scientist"
"3025","622-50-7060","James","Jackson","active","7933 Chestnut Cir, Richmond, VA 23202","(804) 702-4447","FTE","Research Department - Research Scientist"
"3026","214-73-7999","Kenneth","Thomas","active","5408 Sweetgum Ct, Columbia, SC 29201","(803) 344-6544","FTE","Research Department - Research Assistant"
"3027","700-17-8890","Thomas","Clark","former employee","4701 Hawthorn Blvd, Manchester, NH 03101","(603) 268-8033","FTE","Research Department - Research Scientist"
"3028","702-63-2454","Christopher","Nguyen","active","3507 Juniper Blvd, Madison, WI 53701","(608) 524-1857","FTE","Education Department - Professor"
"3029","156-58-3959","Richard","Ramirez","active","3507 Juniper Blvd, Madison, WI 53701","(608) 395-1056","FTE","Education Department - Academic Advisor"
"3030","066-29-3685","Edward","Jackson","active","5307 Elmwood Blvd, Jackson, MS 39201","(601) 724-6591","PTE","Research Department - Research Assistant"
