"studentnumber","ssn","firstname","surname","status","address","phone","studytype","alumni","field"
"42001","398-76-5400","David","Moore","active","1607 Hawthorn St, Kansas City, MO 64101","(816) 300-8933","graduate","true","School of Engineering & Technology - Aerospace Engineering;School of Engineering & Technology - Robotics"
"42002","","Jessica","Miller","active","7024 Beechwood Dr, Baton Rouge, LA 70802","(225) 822-3491","undergraduate","false","School of Social Sciences - Sociology"
"42003","321-43-1979","Barbara","Walker","leave of absence","4407 Mulberry Cir, Honolulu, HI 96801","(808) 794-1934","graduate","true","School of Social Sciences - Social Work"
"42004","742-11-7749","Robert","Green","active","2304 Sweetgum St, New Orleans, LA 70101","(504) 289-2918","graduate","true","School of Social Sciences - Sociology"
"42005","266-37-9618","Kenneth","Flores","active","888 Dogwood Ln, Boston, MA 02101","(617) 696-5775","graduate","true","School of Engineering & Technology - Mechanical Engineering"
"42006","710-14-5747","James","Brown","active","4104 Mahogany St, Little Rock, AR 72201","(501) 439-8699","graduate","true","School of Engineering & Technology - Aerospace Engineering"
"42007","027-01-0768","Joseph","Thomas","active","8135 Sugar Maple Blvd, Des Moines, IA 50302","(515) 821-7989","undergraduate","false","School of Social Sciences - Sociology"
"42008","629-48-8402","Linda","Hernandez","active","2102 Basswood Pl, Milwaukee, WI 53201","(414) 380-7815","undergraduate","false","School of Natural Sciences - Physics"
"42009","405-40-2844","Andrew","Young","former student","5105 Sugar Maple Ave, Montgomery, AL 36101","(334) 880-4939","graduate","true","School of Engineering & Technology - Aerospace Engineering"
"42010","885-30-0320","Anthony","Allen","active","7529 Bayberry Ct, Winston-Salem, NC 27101","(336) 890-2351","undergraduate","false","School of Social Sciences - Sociology"
"42011","502-38-5928","Carol","Lewis","active","321 Birch Ln, Denver, CO 80202","(303) 563-6971","undergraduate","false","School of Social Sciences - Psychology"
"42012","","George","Rodriguez","leave of absence","789 Pine Dr, Austin, TX 78701","(512) 757-8723","undergraduate","false","School of Natural Sciences - Mathematics"
"42013","866-61-6101","Michael","Walker","active","1607 Hawthorn St, Kansas City, MO 64101","(816) 770-5944","undergraduate","false","School of Law - International Law"
"42014","043-15-0033","Linda","Rivera","active","7226 Cottonwood Way, Toledo, OH 43601","(419) 757-5516","undergraduate","false","School of Law - Corporate Law"
"42015","525-22-3450","Patricia","Martin","active","123 Maple St, Springfield, IL 62704","(217) 459-9564","undergraduate","false","School of Engineering & Technology - Computer Science & Engineering"
"42016","421-83-9129","Margaret","Martin","active","6822 Linden Ln, Colorado Springs, CO 80901","(719) 762-2211","undergraduate","false","School of Social Sciences - Social Work"
"42017","374-95-2883","Carol","Johnson","active","7731 Hawthorn Ln, Grand Rapids, MI 49501","(616) 479-1177","undergraduate","false","School of Engineering & Technology - Aerospace Engineering"
"42018","538-56-7298","Karen","Miller","active","1102 Cottonwood Ter, Denver, CO 80203","(303) 567-3689","graduate","true","School of Natural Sciences - Biology"
"42019","478-54-4912","George","Martin","active","4508 Bayberry Ct, Anchorage, AK 99501","(907) 341-7152","graduate","true","School of Law - International Law"
"42020","213-96-2034","David","Young","active","707 Beech St, Charlotte, NC 28201","(704) 364-7815","undergraduate","false","School of Law - Human Rights Law"
"42021","333-12-0184","Emily","Johnson","former student","3103 Maplewood St, Tucson, AZ 85701","(520) 503-1718","graduate","true","School of Law - Criminal Law"
"42022","308-35-1651","Mark","Smith","active","3709 Palm Way, Virginia Beach, VA 23401","(757) 887-3891","undergraduate","false","School of Law - International Law"
"42023","759-67-6908","Nancy","Martinez","active","5408 Sweetgum Ct, Columbia, SC 29201","(803) 256-5446","graduate","false","School of Law - Criminal Law"
"42024","","Joshua","Miller","active","7630 Holly Rd, Baton Rouge, LA 70803","(225) 964-1522","graduate","true","School of Law - Human Rights Law"
"42025","120-52-6377","Andrew","Mitchell","active","4104 Mahogany St, Little Rock, AR 72201","(501) 580-7608","graduate","true","School of Law - International Law"
"42026","453-95-8320","Paul","Brown","active","505 Linden Blvd, Minneapolis, MN 55401","(612) 623-1561","graduate","true","School of Natural Sciences - Physics"
"42027","128-50-1509","Robert","Garcia","former student","6418 Redwood Blvd, Corpus Christi, TX 78401","(361) 559-7374","graduate","true","School of Engineering & Technology - Robotics"
"42028","139-47-2354","Sarah","Davis","leave of absence","8034 Silver Maple Dr, Boise, ID 83703","(208) 629-9983","undergraduate","false","School of Social Sciences - Social Work;School of Law - Human Rights Law"
"42029","488-09-1486","Michael","Thomas","active","5004 Silver Maple Ln, Spokane, WA 99201","(509) 768-9438","graduate","true","School of Natural Sciences - Chemistry;School of Natural Sciences - Biology"
"42030","","Steven","Smith","active","321 Birch Ln, Denver, CO 80202","(303) 881-2176","graduate","false","School of Social Sciences - International Relations"
